AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_016782	173.0	11.1186045793	165.0	13.6699973725
NM_016781	146.0	30.6861832415	124.0	43.0171276833
NM_016780	0.0	-	0.0	-
NM_016787	194.0	11.5104862478	84.0	29.4970952477
NM_016786	220.0	15.5236512562	186.0	106.258725844
NM_016785	14.0	1.77634440995	9.0	4.28818174837
NM_016968	0.0	-	0.0	-
NM_016967	0.0	-	0.0	-
NM_016966	54.0	9.94234763466	40.0	8.60134666132
NM_016789	0.0	-	0.0	-
NM_016788	160.0	12.3748157624	132.0	14.3534972411
NM_016963	55.0	5.27760901344	35.0	11.3852102762
NM_016961	29.0	2.13371082439	13.0	3.90775841119
NM_016960	1.0	0.429531089509	1.0	1.1717140605
NM_177716	0.0	-	0.0	-
NM_030553	0.0	-	0.0	-
NM_177715	5.0	0.284368444598	5.0	1.75042649282
NM_030556	0.0	-	0.0	-
NM_030557	23.0	1.43197731377	12.0	2.25521396914
NM_001304721	1.0	0.0810932047519	1.0	0.212644403572
NM_001304720	110.0	2.71519294328	77.0	13.8152410945
